airsigmetid,timevalidfromutc,timevalidtoutc,movementdirdegrees,movementspeedknots,hazardtype,hazardseverity,airsigmettype,altitudeminft,altitudemaxft,rawtext
3274,2012-12-09 09:55:00+00:00,2012-12-09 13:55:00+00:00,,,CONVECTIVE,,OUTLOOK,,,"WSUS31 KKCI 090755 
SIGE  
OUTLOOK VALID 090955-091355 
 
 
FROM EWC-PSK-MLU-MLC-AXC-EWC 
WST ISSUANCES POSS. REFER TO THE MOST RECENT ACUS01 KWNS FROM THE 
STORM PREDICTION CENTER FOR SYNOPSIS AND METEOROLOGICAL DETAILS."
3279,2012-12-09 10:55:00+00:00,2012-12-09 14:55:00+00:00,,,CONVECTIVE,,OUTLOOK,,,"WSUS31 KKCI 090855 
SIGE  
OUTLOOK VALID 091055-091455 
 
 
FROM EWC-PSK-MLU-MLC-AXC-EWC 
WST ISSUANCES POSS. REFER TO THE MOST RECENT ACUS01 KWNS FROM THE 
STORM PREDICTION CENTER FOR SYNOPSIS AND METEOROLOGICAL DETAILS."
3281,2012-12-09 09:55:00+00:00,2012-12-09 08:54:59+00:00,,,CONVECTIVE,,OUTLOOK,,,"WSUS31 KKCI 090755 
SIGE  
OUTLOOK VALID 090955-091355 
 
 
FROM EWC-PSK-MLU-MLC-AXC-EWC 
WST ISSUANCES POSS. REFER TO THE MOST RECENT ACUS01 KWNS FROM THE 
STORM PREDICTION CENTER FOR SYNOPSIS AND METEOROLOGICAL DETAILS."
3284,2012-12-09 10:55:00+00:00,2012-12-09 09:54:59+00:00,,,CONVECTIVE,,OUTLOOK,,,"WSUS31 KKCI 090855 
SIGE  
OUTLOOK VALID 091055-091455 
 
 
FROM EWC-PSK-MLU-MLC-AXC-EWC 
WST ISSUANCES POSS. REFER TO THE MOST RECENT ACUS01 KWNS FROM THE 
STORM PREDICTION CENTER FOR SYNOPSIS AND METEOROLOGICAL DETAILS."
3286,2012-12-09 09:55:00+00:00,2012-12-09 11:55:00+00:00,250.0,35.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0,"WSUS32 KKCI 090955 
SIGC  
CONVECTIVE SIGMET 22C 
VALID UNTIL 1155Z 
MO AR 
FROM 30SSW FAM-50SE FAM-20NW DYR-40W ARG-30SSW FAM 
AREA EMBD TS MOV FROM 25035KT. TOPS TO FL330. 
 
OUTLOOK VALID 091155-091555 
FROM AIR-PSK-MLU-MLC-AXC-AIR 
WST ISSUANCES POSS. REFER TO THE MOST RECENT ACUS01 KWNS FROM THE 
STORM PREDICTION CENTER FOR SYNOPSIS AND METEOROLOGICAL DETAILS."
3287,2012-12-09 11:55:00+00:00,2012-12-09 15:55:00+00:00,,,CONVECTIVE,,OUTLOOK,,,"WSUS32 KKCI 090955 
SIGC  
OUTLOOK VALID 091155-091555 
 
 
FROM AIR-PSK-MLU-MLC-AXC-AIR 
WST ISSUANCES POSS. REFER TO THE MOST RECENT ACUS01 KWNS FROM THE 
STORM PREDICTION CENTER FOR SYNOPSIS AND METEOROLOGICAL DETAILS."
3288,2012-12-09 10:55:00+00:00,2012-12-09 12:55:00+00:00,,,CONVECTIVE,NONE,SIGMET,,,"WSUS33 KKCI 091055 
SIGW  
CONVECTIVE SIGMET...NONE 
 
OUTLOOK VALID 091255-091655 
TS ARE NOT EXPD."
3289,2012-12-09 12:55:00+00:00,2012-12-09 16:55:00+00:00,,,CONVECTIVE,,OUTLOOK,,,"WSUS31 KKCI 091055 
SIGE  
OUTLOOK VALID 091255-091655 
 
 
FROM AIR-PSK-MLU-MLC-AXC-AIR 
WST ISSUANCES POSS. REFER TO THE MOST RECENT ACUS01 KWNS FROM THE 
STORM PREDICTION CENTER FOR SYNOPSIS AND METEOROLOGICAL DETAILS."
3290,2012-12-09 09:55:00+00:00,2012-12-09 10:54:59+00:00,250.0,35.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0,"WSUS32 KKCI 090955 
SIGC  
CONVECTIVE SIGMET 22C 
VALID UNTIL 1155Z 
MO AR 
FROM 30SSW FAM-50SE FAM-20NW DYR-40W ARG-30SSW FAM 
AREA EMBD TS MOV FROM 25035KT. TOPS TO FL330. 
 
OUTLOOK VALID 091155-091555 
FROM AIR-PSK-MLU-MLC-AXC-AIR 
WST ISSUANCES POSS. REFER TO THE MOST RECENT ACUS01 KWNS FROM THE 
STORM PREDICTION CENTER FOR SYNOPSIS AND METEOROLOGICAL DETAILS."
3291,2012-12-09 11:55:00+00:00,2012-12-09 10:54:59+00:00,,,CONVECTIVE,,OUTLOOK,,,"WSUS32 KKCI 090955 
SIGC  
OUTLOOK VALID 091155-091555 
 
 
FROM AIR-PSK-MLU-MLC-AXC-AIR 
WST ISSUANCES POSS. REFER TO THE MOST RECENT ACUS01 KWNS FROM THE 
STORM PREDICTION CENTER FOR SYNOPSIS AND METEOROLOGICAL DETAILS."
