asdiflightplanid,originaldepartureutc,originalarrivalutc,ordinal,latitude,longitude
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,0,32.8833351135254,-97.03333282470699
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,1,32.7999992370605,-97.0
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,2,32.7666664123535,-96.9833297729492
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,3,32.7666664123535,-96.9499969482422
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,4,32.75,-96.9333343505859
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,5,32.7666664123535,-96.8499984741211
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,6,32.7666664123535,-96.8166656494141
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,7,32.8499984741211,-96.8000030517578
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,8,32.9000015258789,-96.8000030517578
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,9,32.9833335876465,-96.8000030517578
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,10,33.0666656494141,-96.8000030517578
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,11,33.25,-96.8166656494141
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,12,33.4000015258789,-96.8166656494141
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,13,33.4000015258789,-96.8166656494141
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,14,33.4500007629395,-96.8166656494141
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,15,33.5166664123535,-96.7666702270508
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,16,33.5666656494141,-96.7333297729492
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,17,33.75,-96.61666870117192
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,18,33.8166656494141,-96.5666656494141
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,19,33.9166679382324,-96.5
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,20,33.9500007629395,-96.4833297729492
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,21,34.0499992370605,-96.4166641235352
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,22,34.0999984741211,-96.38333129882808
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,23,34.75,-95.8499984741211
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,24,34.8333320617676,-95.7666702270508
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,25,34.9833335876465,-95.6500015258789
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,26,35.25,-95.38333129882808
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,27,35.6500015258789,-95.0
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,28,36.533332824706996,-94.13333129882808
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,29,37.3499984741211,-93.3333358764648
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,30,38.033332824706996,-92.6833343505859
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,31,38.2000007629395,-92.53333282470699
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,32,38.6333351135254,-92.11666870117192
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,33,39.0,-91.7666702270508
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,34,39.1166648864746,-91.6500015258789
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,35,39.2666664123535,-91.5
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,36,39.7000007629395,-91.0666656494141
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,37,40.0166664123535,-90.75
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,38,40.1666679382324,-90.5999984741211
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,39,40.2999992370605,-90.46666717529301
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,40,40.3499984741211,-90.4166641235352
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,41,40.7000007629395,-90.0500030517578
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,42,41.1333351135254,-89.5999984741211
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,43,41.1500015258789,-89.5833358764648
7873799,2012-12-05 12:20:00,2012-12-05 14:35:00,44,41.1500015258789,-89.5666656494141
